"Value Research Online"
"Date: 26-Mar-2018 00:30"
"Fund","Rating","Category","Launch","Expense Ratio (%)","3-Year Return (%)","3-Year Rank","Net Assets (Cr)"
"DSP BlackRock Focus Fund - Direct Plan","* * * * ","EQ-LC     ","Jan 01, 2013","1.57","7.49","53/162","2976.52"
"SBI Magnum Equity Fund - Direct Plan","* * * ","EQ-LC     ","Jan 01, 2013","1.5","7.49","54/162","2132.53"
"Axis Equity Fund","* * * ","EQ-LC     ","Jan 05, 2010","2.11","7.49","55/162","1878.75"
"Edelweiss Large Cap Advantage Fund - Direct Plan","* * * * ","EQ-LC     ","Jan 01, 2013","0.5","7.47","56/162","130.52"
"Franklin India Bluechip Fund - Direct Plan","* * * * ","EQ-LC     ","Jan 01, 2013","1.35","7.46","57/162","8089.24"
"Motilal Oswal Midcap 30 Fund - Regular Plan","* * * ","EQ-MC     ","Feb 24, 2014","2.45","7.45","79/87","1312.95"
"ICICI Prudential Nifty 100 iWIN ETF","* * * ","EQ-LC     ","Aug 20, 2013","0.41","7.45","58/162","38.83"
"UTI Top 100 Fund - Direct Plan","* * * * ","EQ-LC     ","Jan 01, 2013","1.85","7.43","59/162","975.19"
"UTI Equity Fund - Direct Plan","* * * ","EQ-LC     ","Jan 01, 2013","1.65","7.39","60/162","4972.07"
"IDBI Diversified Equity Fund - Direct Plan","* * ","EQ-MC     ","Mar 28, 2014","0.95","7.38","80/87","376.81"
"Motilal Oswal Focused 25 Fund - Regular Plan","* * * * ","EQ-LC     ","May 13, 2013","2.5","7.34","61/162","1007.81"
"SBI Magnum Global Fund","* * * ","EQ-MC     ","Sep 30, 1994","2.04","7.31","81/87","3456.44"
"HDFC Top 200 Fund","* * * ","EQ-LC     ","Sep 03, 1996","2.09","7.3","62/162","15250.33"
"Principal Large Cap Fund","* * * ","EQ-LC     ","Nov 11, 2005","2.62","7.24","63/162","309.79"
"ICICI Prudential Select Large Cap Fund - Direct Plan","* * * ","EQ-LC     ","Jan 01, 2013","1.67","7.18","64/162","586.11"
"IDFC Premier Equity Fund - Direct Plan","* * ","EQ-MC     ","Jan 01, 2013","1.32","7.07","82/87","5716.76"
"DHFL Pramerica Midcap Opportunities Fund - Regular Plan","* ","EQ-MC     ","Dec 02, 2013","2.65","6.97","83/87","125.46"
"Reliance ETF Nifty 100","* * * ","EQ-LC     ","Mar 22, 2013","1","6.93","65/162","7.62"
"Reliance NRI Equity Fund - Direct Plan","* * * ","EQ-LC     ","Jan 01, 2013","2.08","6.91","66/162","88.94"
"Kotak 50 Regular Plan","* * * ","EQ-LC     ","Dec 29, 1998","2.17","6.91","67/162","1371.24"
"UTI Equity Fund","* * * ","EQ-LC     ","May 18, 1992","2.09","6.9","68/162","4972.07"
"Invesco India Business Leaders Fund","* * * * ","EQ-LC     ","Aug 21, 2009","2.64","6.89","69/162","131.33"
"IDFC Equity Fund - Direct Plan","* * * ","EQ-LC     ","Jan 01, 2013","1.78","6.87","70/162","307"
"UTI Top 100 Fund","* * * ","EQ-LC     ","Feb 16, 1993","2.46","6.85","71/162","975.19"
"HSBC Dynamic Asset Allocation Fund","* * * ","EQ-LC     ","Sep 24, 2007","2.67","6.81","72/162","44.34"
"Aditya Birla Sun Life Nifty ETF Fund","* * * ","EQ-LC     ","Jul 22, 2011","-","6.74","73/162","222.74"
"DSP BlackRock Focus Fund","* * * * ","EQ-LC     ","Jun 10, 2010","2.39","6.73","74/162","2976.52"
"Franklin India Flexi Cap Fund","* * * * ","EQ-LC     ","Mar 02, 2005","2.34","6.66","75/162","2873.61"
"ICICI Prudential Nifty iWIN ETF","* * * ","EQ-LC     ","Mar 20, 2013","0.05","6.66","76/162","843.49"
"Reliance Focused Large Cap Fund - Direct Plan","* * * * ","EQ-LC     ","Jan 01, 2013","1.34","6.66","77/162","1344.8"
"Aditya Birla Sun Life Dividend Yield Plus Fund - Direct Plan","* ","EQ-MC     ","Jan 01, 2013","1.49","6.65","84/87","1025.66"
"SBI ETF Sensex","* * * ","EQ-LC     ","Mar 08, 2013","-","6.65","78/162","8969.05"
"Edelweiss Prudent Advantage Fund - Direct Plan","* * * ","EQ-LC     ","Jan 07, 2013","1.69","6.64","79/162","10.5"
"SBI Magnum Equity Fund","* * * ","EQ-LC     ","Jan 01, 1991","2.09","6.64","80/162","2132.53"
"Invesco India Nifty Exchange Traded Fund","Unrated","EQ-LC     ","Jun 06, 2011","0.1","6.62","81/162","1.83"
"Edelweiss Large Cap Advantage Fund - Regular Plan","* * * ","EQ-LC     ","May 20, 2009","1.3","6.62","82/162","130.52"
"Canara Robeco Large Cap+ Fund - Regular Plan","* * * ","EQ-LC     ","Aug 21, 2010","2.85","6.59","83/162","111.78"
"Franklin India Bluechip Fund","* * * ","EQ-LC     ","Dec 01, 1993","2.27","6.52","84/162","8089.24"
"Quantum Nifty ETF","Unrated","EQ-LC     ","Jul 10, 2008","0.26","6.47","85/162","4.22"
"Reliance ETF Nifty BeES","* * * ","EQ-LC     ","Dec 28, 2001","0.1","6.44","86/162","870.9"
"HDFC Index Fund - Nifty Plan - Direct Plan","* * * ","EQ-LC     ","Jan 01, 2013","0.15","6.44","87/162","325.62"
"UTI Nifty Index Fund - Direct Plan","* * * ","EQ-LC     ","Jan 01, 2013","0.13","6.43","88/162","746.83"
"UTI Mastershare Fund - Direct Plan","* * * ","EQ-LC     ","Jan 01, 2013","1.39","6.4","89/162","4990.53"
"ICICI Prudential Value Discovery Fund","* * * * ","EQ-LC     ","Aug 16, 2004","2.14","6.35","90/162","16664.36"
"Reliance ETF Sensex","* * ","EQ-LC     ","Sep 19, 2014","0.06","6.35","91/162","33.95"
